"","n","time_order_statistic_min","time_order_statistic_med","time_order_statistic_max"
"104",1040000,0.0180000000000291,0.0259999999994761,0.0159999999996217
"105",1050000,0.0160000000003492,0.0180000000000291,0.00999999999985448
"106",1060000,0.0159999999996217,0.0220000000001164,0.00999999999985448
"107",1070000,0.0159999999996217,0.0260000000002037,0.0160000000003492
"108",1080000,0.0180000000000291,0.0239999999997963,0.0119999999995343
"109",1090000,0.0120000000002619,0.0220000000001164,0.0159999999996217
"110",1100000,0.00999999999985448,0.0180000000000291,0.0160000000003492
"111",1110000,0.00999999999985448,0.0279999999998836,0.0120000000002619
"112",1120000,0.0119999999995343,0.0279999999998836,0.0100000000005821
"113",1130000,0.0180000000000291,0.0260000000002037,0.0120000000002619
"114",1140000,0.0180000000000291,0.0239999999997963,0.0159999999996217
"115",1150000,0.0120000000002619,0.0279999999998836,0.0160000000003492
"116",1160000,0.0139999999999418,0.0260000000002037,0.0119999999995343
"117",1170000,0.0220000000001164,0.0220000000001164,0.0180000000000291
"118",1180000,0.0180000000000291,0.0279999999998836,0.0119999999995343
"119",1190000,0.0159999999996217,0.0319999999999709,0.019999999999709
"120",1200000,0.0120000000002619,0.0220000000001164,0.0180000000000291
"121",1210000,0.0159999999996217,0.0279999999998836,0.0119999999995343
"122",1220000,0.0160000000003492,0.030000000000291,0.0119999999995343
"123",1230000,0.019999999999709,0.0279999999998836,0.0159999999996217
"124",1240000,0.0239999999997963,0.0260000000002037,0.0139999999999418
"125",1250000,0.0180000000000291,0.030000000000291,0.0120000000002619
"126",1260000,0.019999999999709,0.0339999999996508,0.0160000000003492
"127",1270000,0.0220000000001164,0.030000000000291,0.019999999999709
"128",1280000,0.0159999999996217,0.0319999999999709,0.0180000000000291
"129",1290000,0.019999999999709,0.0279999999998836,0.0180000000000291
"130",1300000,0.0220000000001164,0.0259999999994761,0.0139999999999418
"131",1310000,0.0119999999995343,0.0279999999998836,0.0200000000004366
"132",1320000,0.0260000000002037,0.0340000000003784,0.0160000000003492
"133",1330000,0.0160000000003492,0.0259999999994761,0.0220000000001164
"134",1340000,0.019999999999709,0.0339999999996508,0.0159999999996217
"135",1350000,0.0180000000000291,0.0299999999995634,0.0159999999996217
"136",1360000,0.0180000000000291,0.0339999999996508,0.0139999999999418
"137",1370000,0.0160000000003492,0.0279999999998836,0.0139999999999418
"138",1380000,0.0139999999999418,0.0259999999994761,0.0220000000001164
"139",1390000,0.019999999999709,0.0280000000006112,0.0180000000000291
"140",1400000,0.019999999999709,0.0319999999999709,0.0120000000002619
"141",1410000,0.0180000000000291,0.030000000000291,0.0139999999999418
"142",1420000,0.0239999999997963,0.030000000000291,0.0180000000000291
"143",1430000,0.0220000000001164,0.030000000000291,0.0160000000003492
"144",1440000,0.0180000000000291,0.030000000000291,0.0160000000003492
"145",1450000,0.0220000000001164,0.0319999999999709,0.0159999999996217
"146",1460000,0.0200000000004366,0.0340000000003784,0.0139999999999418
"147",1470000,0.0220000000001164,0.030000000000291,0.0220000000001164
"148",1480000,0.019999999999709,0.0339999999996508,0.0160000000003492
"149",1490000,0.0139999999999418,0.0280000000006112,0.0119999999995343
"150",1500000,0.0159999999996217,0.0339999999996508,0.0219999999993888
"151",1510000,0.0220000000001164,0.0379999999997381,0.0239999999997963
"152",1520000,0.019999999999709,0.0299999999995634,0.0180000000000291
"153",1530000,0.0279999999998836,0.0339999999996508,0.0200000000004366
"154",1540000,0.0220000000001164,0.0279999999998836,0.0180000000000291
