"","m","var_time_order_statistic_med"
"170",8550000,0.000334444444438228
"171",8600000,0.000676666666666497
"172",8650000,0.00138222222220617
"173",8700000,0.000401111111111847
"174",8750000,0.00137333333333912
"175",8800000,0.000173333333336858
"176",8850000,0.00128444444443584
"177",8900000,0.000484444444445786
"178",8950000,0.000728888888895647
"179",9e+06,0.000728888888887159
"180",9050000,0.000626666666657644
"181",9100000,0.00070666666665952
"182",9150000,0.000378888888891686
"183",9200000,0.000439999999996976
"184",9250000,0.000943333333328434
"185",9300000,0.00113777777777369
"186",9350000,0.00101000000000488
"187",9400000,0.000823333333330674
"188",9450000,0.000543333333318046
"189",9500000,0.00035666666666243
"190",9550000,0.00100555555554488
"191",9600000,0.000217777777770308
"192",9650000,0.000360000000004398
"193",9700000,0.000506666666656448
"194",9750000,0.000844444444440887
